Date,Dividends,Company
09/02/1970,0.00694,"Merck & Co., Inc. (MRK)"
08/20/2003,2.876,"Merck & Co., Inc. (MRK)"
12/06/2006,0.38,"Merck & Co., Inc. (MRK)"
06/04/2008,0.38,"Merck & Co., Inc. (MRK)"
12/04/1978,0.01319,"Merck & Co., Inc. (MRK)"
12/13/2012,0.43,"Merck & Co., Inc. (MRK)"
09/13/2019,0.55,"Merck & Co., Inc. (MRK)"
12/03/2003,0.37,"Merck & Co., Inc. (MRK)"
06/05/2002,0.35,"Merck & Co., Inc. (MRK)"
09/11/2015,0.45,"Merck & Co., Inc. (MRK)"
08/30/1985,0.02222,"Merck & Co., Inc. (MRK)"
06/03/1998,0.45,"Merck & Co., Inc. (MRK)"
12/01/1999,0.29,"Merck & Co., Inc. (MRK)"
03/13/2020,0.61,"Merck & Co., Inc. (MRK)"
09/13/2011,0.38,"Merck & Co., Inc. (MRK)"
06/06/2007,0.38,"Merck & Co., Inc. (MRK)"
12/05/2007,0.38,"Merck & Co., Inc. (MRK)"
09/02/1994,0.3,"Merck & Co., Inc. (MRK)"
03/03/1995,0.3,"Merck & Co., Inc. (MRK)"
12/03/1979,0.01597,"Merck & Co., Inc. (MRK)"
06/02/1980,0.01597,"Merck & Co., Inc. (MRK)"
12/12/2013,0.44,"Merck & Co., Inc. (MRK)"
06/12/2014,0.44,"Merck & Co., Inc. (MRK)"
12/01/2004,0.38,"Merck & Co., Inc. (MRK)"
06/01/2005,0.38,"Merck & Co., Inc. (MRK)"
12/01/1975,0.00972,"Merck & Co., Inc. (MRK)"
12/05/1996,0.4,"Merck & Co., Inc. (MRK)"
06/05/1997,0.42,"Merck & Co., Inc. (MRK)"
06/03/1985,0.02222,"Merck & Co., Inc. (MRK)"
12/14/2017,0.48,"Merck & Co., Inc. (MRK)"
12/03/2008,0.38,"Merck & Co., Inc. (MRK)"
06/13/2013,0.43,"Merck & Co., Inc. (MRK)"
12/11/2014,0.45,"Merck & Co., Inc. (MRK)"
06/02/2004,0.37,"Merck & Co., Inc. (MRK)"
11/30/2005,0.38,"Merck & Co., Inc. (MRK)"
08/30/1991,0.2098,"Merck & Co., Inc. (MRK)"
06/02/1975,0.00972,"Merck & Co., Inc. (MRK)"
12/05/1972,0.00819,"Merck & Co., Inc. (MRK)"
08/28/1987,0.0888,"Merck & Co., Inc. (MRK)"
05/31/2000,0.29,"Merck & Co., Inc. (MRK)"
06/06/1996,0.34,"Merck & Co., Inc. (MRK)"
12/13/2010,0.38,"Merck & Co., Inc. (MRK)"
12/03/1984,0.02222,"Merck & Co., Inc. (MRK)"
06/14/2018,0.48,"Merck & Co., Inc. (MRK)"
03/02/1993,0.25,"Merck & Co., Inc. (MRK)"
08/28/1990,0.1866,"Merck & Co., Inc. (MRK)"
11/28/1977,0.01181,"Merck & Co., Inc. (MRK)"
02/27/1986,0.1,"Merck & Co., Inc. (MRK)"
08/28/1978,0.01181,"Merck & Co., Inc. (MRK)"
06/02/1970,0.00694,"Merck & Co., Inc. (MRK)"
12/02/1993,0.28,"Merck & Co., Inc. (MRK)"
